GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,44,0,0,0,13,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,31,0,6,0,9,0,7,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,198,0,12,0,44,0,13,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,137,0,10,0,31,0,12,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,135,0,10,0,30,0,12,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,135,0,10,0,31,0,12,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,UserController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,UserController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,UserController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,135,0,10,0,31,0,12,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController.new Object() {...},0,6,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,135,0,10,0,31,0,12,0,7
spring-boot-skeleton,com.nnk.springboot.services,UserService,0,376,0,28,0,63,0,24,0,10
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,243,1,17,0,40,1,15,0,7
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,236,0,18,0,40,0,16,0,7
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,236,0,18,0,40,0,16,0,7
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,235,1,17,0,40,1,15,0,7
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,236,1,17,0,40,1,15,0,7
spring-boot-skeleton,com.nnk.springboot.configuration,ConfigApplication,0,15,0,0,0,5,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.security,OAuth2LoginSuccessHandler,0,83,0,8,0,17,0,7,0,3
spring-boot-skeleton,com.nnk.springboot.security,SecurityConfig,0,137,0,0,0,33,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.security,CustomUserDetailsService,0,53,0,2,0,7,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.security,CustomOauth2UserService,73,3,4,0,12,1,3,1,1,1
spring-boot-skeleton,com.nnk.springboot.security,AuthProvider,3,45,0,0,1,5,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.security,CustomOAuth2User,94,62,2,0,14,16,5,6,4,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,65,73,0,0,2,11,2,16,2,16
spring-boot-skeleton,com.nnk.springboot.domain,User,73,102,0,0,4,19,2,19,2,19
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,66,43,0,0,3,8,6,10,6,10
spring-boot-skeleton,com.nnk.springboot.domain,Rating,49,54,0,0,3,9,2,12,2,12
spring-boot-skeleton,com.nnk.springboot.domain,Trade,185,40,0,0,1,7,35,10,35,10
spring-boot-skeleton,com.nnk.springboot.domain,BidList,221,43,0,0,3,8,38,10,38,10
spring-boot-skeleton,com.nnk.springboot.validation,QuantityValidator,0,30,1,7,0,4,1,7,0,4
spring-boot-skeleton,com.nnk.springboot.validation,PasswordValidator,0,20,0,4,0,4,0,6,0,4
spring-boot-skeleton,com.nnk.springboot.exceptions,GlobalExceptionHandler,0,49,0,0,0,14,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.exceptions,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,GlobalPoseidonException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,RatingNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,CurvePointNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,TradeNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,BidListNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,RuleNameNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,GlobaleErrorResponse,15,31,0,0,6,3,1,9,1,9
