GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,28,3,6,0,8,1,6,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,195,3,12,0,42,1,12,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,134,3,10,0,30,1,11,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,132,3,10,0,29,1,11,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,132,3,10,0,30,1,11,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,UserController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,UserController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,UserController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,132,3,10,0,30,1,11,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController.new Object() {...},6,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,132,3,10,0,30,1,11,1,6,1
spring-boot-skeleton,com.nnk.springboot.services,UserService,372,7,28,0,60,2,22,2,8,2
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,237,7,18,0,38,2,14,2,5,2
spring-boot-skeleton,com.nnk.springboot.services,TradeService,230,7,18,0,38,2,14,2,5,2
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,230,7,18,0,38,2,14,2,5,2
spring-boot-skeleton,com.nnk.springboot.services,BidListService,229,7,18,0,38,2,14,2,5,2
spring-boot-skeleton,com.nnk.springboot.services,RatingService,230,7,18,0,38,2,14,2,5,2
